CaseNo,AwardOrg,AwardOrgVal,ImageYr,AwardDiv,AwardDivVal,PhotographerGen,PhotographerGenVal,PhotographerRace,PhotographerRaceVal,PhotographerPoC,PhotographerPoCVal,PhotographerNat,PhotographerNatVal,AssStat,AssStatVal,SubGen,SubGenVal,SubRace,SubRaceVal,SubNat,SubNatVal,SubLoc,SubLocVal,ShotAngle,ShotAngleVal,ShotType,ShotTypeVal,ImageClr,ImageClrVal,ImageOrient,ImageOrientVal,PresDeath,PresDeathVal,PresDis,PresDisVal,PresPolit,PresPolitVal,PresWar,PresWarVal,PresPov,PresPovVal,PresIll,PresIllVal,PresNud,PresNudVal,PresChil,PresChilVal,PresIncar,PresIncarVal,PresRefu,PresRefuVal,PresViol,PresViolVal,PresPolice,PresPoliceVal,PresMil,PresMilVal,Affect,AffectVal
47,WPPA,2,2012,Photo of the Year [WPPA],7,Male,1,Hispanic,5,Yes,1,Europe,2,Unclear,0,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
48,WPPA,2,2012,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Africa,6,Straight On,3,Close-Up,2,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
49,WPPA,2,2013,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Europe,2,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
50,WPPA,2,2013,General News [POYi or WPP],3,Male,1,Hispanic,5,Yes,1,South/Central America,8,Assigned/Staff,1,Single Subject [Female],2,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Low Angle,2,Close-Up,2,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,4 - Somewhat unpleasant,4
51,WPPA,2,2014,Photo of the Year [WPPA],7,Male,1,White,1,No,2,North America,1,Freelance,2,Multi-Subject [Mixed Gender],5,Black,2,Africa,6,Africa,6,High Angle,1,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
52,WPPA,2,2014,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Object OR Landscape,7,Unclear or Not Applicable,0,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
53,WPPA,2,2015,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Europe,2,Freelance,2,Multi-Subject [All Male],3,White,1,Russia,10,Russia,10,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Partial Nudity,2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,2 - Somewhat pleasant,2
54,WPPA,2,2015,General News [POYi or WPP],3,Male,1,White,1,No,2,Russia,10,Assigned/Staff,1,Object OR Landscape,7,Unclear or Not Applicable,0,Europe,2,Eastern Europe,12,High Angle,1,Close-Up,2,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,4 - Somewhat unpleasant,4
55,WPPA,2,2016,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Australia,9,Freelance,2,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Medium,1,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
56,WPPA,2,2016,General News [POYi or WPP],3,Male,1,Hispanic,5,Yes,1,South/Central America,8,Freelance,2,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,5 - Very unpleasant,5
57,POYi,1,2016,General News [POYi or WPP],3,Female,2,East Asian,3,Yes,1,East Asian,4,Freelance,2,Multi-Subject [All Male],3,Black,2,North America,1,North America,1,Straight On,3,Close-Up,2,Black and White,1,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,4 - Somewhat unpleasant,4
58,POYi,1,2016,Spot News [POYi],6,Male,1,Middle Eastern OR Arab,7,Yes,1,Middle East [inc. Palestine],3,Freelance,2,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,High Angle,1,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,5 - Very unpleasant,5
59,WPPA,2,2017,Photo of the Year [WPPA],7,Male,1,Middle Eastern OR Arab,7,Yes,1,Middle East [inc. Palestine],3,Assigned/Staff,1,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Eastern Europe,12,Straight On,3,Wide,3,Color,2,Vertical,2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,5 - Very unpleasant,5
60,WPPA,2,2017,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Freelance,2,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Middle East [inc. Palestine],3,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,4 - Somewhat unpleasant,4
61,POYi,1,2017,General News [POYi or WPP],3,Male,1,Hispanic,5,No,2,Europe,2,Freelance,2,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Europe,2,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
62,POYi,1,2017,Spot News [POYi],6,Male,1,Middle Eastern OR Arab,7,Yes,1,Middle East [inc. Palestine],3,Assigned/Staff,1,Multi-Subject [All Male],3,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Eastern Europe,12,Straight On,3,Wide,3,Color,2,Vertical,2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,5 - Very unpleasant,5
63,WPPA,2,2018,Photo of the Year [WPPA],7,Male,1,Hispanic,5,No,2,South/Central America,8,Unclear,0,Single Subject [Male],1,Hispanic,5,South/Central America,8,South/Central America,8,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Implicitly Present [Referenced symbolically],2,Not Present,0,5 - Very unpleasant,5
64,WPPA,2,2018,General News [POYi or WPP],3,Male,1,White,1,No,2,Europe,2,Unclear,0,Multi-Subject [Mixed Gender],5,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,High Angle,1,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
65,POYi,1,2018,General News [POYi or WPP],3,Male,1,White,1,No,2,North America,1,Unclear,0,Multi-Subject [Mixed Gender],5,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,High Angle,1,Wide,3,Black and White,1,Horizontal,1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
66,POYi,1,2018,Spot News [POYi],6,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Straight On,3,Wide,3,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,5 - Very unpleasant,5
67,WPPA,2,2019,Photo of the Year [WPPA],7,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Hispanic,5,South/Central America,8,North America,1,Low Angle,2,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,5 - Very unpleasant,5
68,WPPA,2,2019,General News [POYi or WPP],3,Male,1,White,1,No,2,Australia,9,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Middle East [inc. Palestine],3,Eastern Europe,12,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
69,POYi,1,2019,General News [POYi or WPP],3,Female,2,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Black,2,North America,1,North America,1,Low Angle,2,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
70,POYi,1,2019,Spot News [POYi],6,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [All Male],3,White,1,Unclear,0,North America,1,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
71,POYi,1,2020,General News [POYi or WPP],3,Male,1,East Asian,3,Yes,1,Unclear,0,Freelance,2,Multi-Subject [Mixed Gender],5,East Asian,3,East Asian,4,East Asia,4,Low Angle,2,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,3 - Neither pleasant nor unpleasant,3
72,POYi,1,2020,Spot News [POYi],6,Male,1,Hispanic,5,Unclear,0,Europe,2,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Black,2,Caribbean,7,Caribbean,7,Straight On,3,Wide,3,Color,2,Horizontal,1,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
73,WPPA,2,2020,Photo of the Year [WPPA],7,Male,1,East Asian,3,Yes,1,East Asian,4,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Black,2,Africa,6,Africa,6,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,2 - Somewhat pleasant,2
74,WPPA,2,2020,Spot News [WPPA],8,Male,1,Middle Eastern OR Arab,7,Yes,1,Africa,6,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Middle Eastern OR Arabic,7,Africa,6,Africa,6,High Angle,1,Wide,3,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,4 - Somewhat unpleasant,4
75,WPPA,2,2021,Photo of the Year [WPPA],7,Male,1,White,1,No,2,Europe,2,Freelance,2,Multi-Subject [All Female],4,Mixed Race,8,South/Central America,8,South/Central America,8,Straight On,3,Medium,1,Color,2,Vertical,2,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,2 - Somewhat pleasant,2
76,WPPA,2,2021,General News [Magazine] POYi,8,Female,2,White,1,No,2,North America,1,Freelance,2,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Low Angle,2,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
77,POYi,1,2021,General News [Magazine] POYi,1,Female,2,White,1,No,2,North America,1,Freelance,2,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Low Angle,2,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,3 - Neither pleasant nor unpleasant,3
78,POYi,1,2021,Spot News [POYi],6,Male,1,Hispanic,5,Yes,1,South/Central America,8,Freelance,2,Multi-Subject [Mixed Gender],5,Unclear or Not Applicable,0,East Asian,4,East Asia,4,Straight On,3,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
79,WPPA,2,2022,Photo of the Year [WPPA],7,Female,2,White,1,No,2,North America,1,Freelance,2,Object OR Landscape,7,Native/Indigenous,6,North America,1,North America,1,Straight On,3,Medium,1,Color,2,Horizontal,1,Implicitly Present [Referenced symbolically],2,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,4 - Somewhat unpleasant,4
80,POYi,1,2022,General News [POYi or WPP],3,Male,1,Southeast Asian [inc. Pacific Islands/India],4,Yes,1,Southeast Asian [inc. Pacific Islands/India],5,Assigned/Staff,1,Unclear,0,Southeast Asian [inc. Pacific Islands/India],4,Southeast Asian [inc. Pacific Islands/India],5,Southeast Asia [inc. Pacific Islands/India],5,High Angle,1,Wide,3,Color,2,Horizontal,1,Explicitly Present [Clearly featured as main component in image],1,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,5 - Very unpleasant,5
81,POYi,1,2022,Spot News [POYi],6,Male,1,White,1,No,2,North America,1,Assigned/Staff,1,Multi-Subject [Mixed Gender],5,Multiple Races Present,9,North America,1,North America,1,Straight On,3,Medium,1,Color,2,Horizontal,1,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Not Present,0,Implicitly Present [Referenced symbolically],2,Explicitly Present [Clearly featured as main component in image],1,Not Present,0,4 - Somewhat unpleasant,4
